Fecha,Gas licuado,Regular,Superior,Diesel
jul-21,500478.6,740193.13,665472.94,0
ago-21,492629.81,668221.54,636824.61,0
sep-21,493058.47,670418.8,605257.76,0
oct-21,497279.7,718676.32,675821.54,0
nov-21,480432.29,708246.27,641916.4,0
dic-21,531775.93,821882.15,768102.83,0
ene-22,513015.93,683031.84,621512.78,0
feb-22,519921.04,661521.58,592106.14,0
mar-22,483657.43,701819.65,598038.47,0
abr-22,493178.4,812059.06,569199.43,0
may-22,515616.02,791824.98,483991.63,0
jun-22,513914.27,781009.47,507260.42,0
jul-22,513619.25,788841.46,554496.9,0
ago-22,541273.94,784468.32,581844.42,0
sep-22,479529.68,760396.15,570632.2,0
oct-22,545823.45,768784.36,573943.48,0
nov-22,528393.77,771173.12,572163.23,0
dic-22,556737.22,865851.44,635953.46,0
ene-23,574148,804524.73,599501.29,0
feb-23,497273.19,737345.64,544144,0
mar-23,588892.16,875010.34,656941.64,0
abr-23,513919.89,798128.36,585642.2,0
may-23,565814.79,866826.79,646221.2,0
